Product,Location,Category,Season,Deal Y/N,Sharks,Asking Amount,% Equity (Asking),Invested Amount,% Equity (Deal),Deal Type
NeatCheeks - Flavoured Face Wipes,"Castle Rock, Colorado",Kids & Toys,6,Deal,Barbara Corcoran,"$150,000",20.0%,"$150,000",25.0%,E
Drum Pants Wearable Sensors,"San Francisco, California",Entertainment & Arts,6,No Deal,—,"$150,000",5.0%,—,—,—
Zipz Single Serving Wine,"Scarsdale, New York",Food & Drink,6,Deal,Kevin O'Leary,"$2,500,000",10.0%,"$2,500,000",10.0%,E
Lumi - Printing Photos With Sunlight,,Entertainment & Arts,6,No Deal,—,"$250,000",5.0%,—,—,—
Emergensee Personal Security App,"Melvin, Pennsylvania",Apps,6,No Deal,—,"$250,000",10.0%,—,—,—
Vestpakz Backpacks,,Clothing & Accessories,6,No Deal,—,"$50,000",10.0%,—,—,—
AquaVault Lockbox Safe,"Miami, Florida",Home & Tools; Sports & Outdoors,6,Deal,Daymond John,"$75,000",12.0%,"$75,000",25.0%,E
Sway Motorsports,"Palo Alto, California",Automotive & Industrial,6,Deal,Mark Cuban,"$300,000",10.0%,"$300,000",20.0%,E
Hammer &amp; Nails Grooming Shop For Men,"Los Angeles, California",Beauty & Health,6,No Deal,—,"$200,000",20.0%,—,—,—
Pipcorn Mini Popcorn,"Brooklyn, New York",Food & Drink,6,Deal,Barbara Corcoran,"$200,000",10.0%,"$200,000",20.0%,E
Balm Chicky Balm Balm,,Beauty & Health,6,No Deal,—,"$75,000",20.0%,—,—,—
Melni Connectors,"Twin Falls, Idaho",Home & Tools,6,Deal,Mark Cuban,"$500,000",5.0%,"$500,000",12.0%,E
FunCakes Wedding Cake Rental,"Grand Rapids, Michigan",Service,6,No Deal,—,"$285,000",25.0%,—,—,—
Mensch on a Bench,"Cincinnati, Ohio",Home & Tools,6,Deal,"Lori Greiner, Robert Herjavec","$150,000",10.0%,"$150,000",15.0%,E
LuminAid - Inflatable Floating Solar Light,"Chicago, Illinois",Home & Tools,6,Deal,Mark Cuban,"$200,000",10.0%,"$200,000",20.0%,E
Beatbox Beverages,"Austin, Texas",Food & Drink,6,Deal,Mark Cuban,"$200,000",10.0%,"$1,000,000",33.0%,E
evRewares - Plastic Adhesive Tie,"Philadelphia, Pennsylvania",Clothing & Accessories,6,Deal,Mark Cuban,"$100,000",30.0%,"$200,000",100.0%,E
Naja - Luxurious Lingerie,"Los Angeles, California",Clothing & Accessories,6,No Deal,—,"$500,000",5.0%,—,—,—
Spikeball,"Chicago, Illinois",Sports & Outdoors,6,Deal,Daymond John,"$500,000",10.0%,"$500,000",20.0%,E
Amber - Phone Charging Station,James Madison University in Virginia,Tech & Electronics,6,No Deal,—,"$200,000",20.0%,—,—,—
Drain Strain - Prevents Clogged Drains,"Woodinville, Washington",Home & Tools,6,Deal,Robert Herjavec,"$110,000",15.0%,"$110,000",10.0%,E
Beneath the Ink - Embeddable Content For EBooks,"Boulder, Colorado",Entertainment & Arts,6,No Deal,—,"$350,000",10.0%,—,—,—
Amber - Phone Charging Station,James Madison University in Virginia,Tech & Electronics,6,No Deal,—,"$200,000",20.0%,—,—,—
Eve Drop,"Henderson, Nevada",Home & Tools,6,No Deal,—,"$75,000",20.0%,—,—,—
Taaluma Totes Cloth Backpacks,"Richmond, Virginia",Clothing & Accessories,6,No Deal,—,"$110,000",15.0%,—,—,—
Paper Box Pilots,"American Fork, Utah",Kids & Toys,6,Deal,Kevin O'Leary,"$35,000",25.0%,"$35,000",50.0%,E
Titin - Weighted Compression Gear,"Austin, Texas",Sports & Outdoors,6,Deal,Daymond John,"$500,000",5.0%,"$500,000",20.0%,E
Lumio - Lighting That Unfolds Like a Book,"Lehi, Utah",Home & Tools,6,Deal,Robert Herjavec,"$250,000",8.0%,"$350,000",10.0%,E
Me and the Bees Lemonade,"Austin, Texas",Food & Drink,6,Deal,Daymond John,"$60,000",10.0%,"$60,000",25.0%,E
ZinePak - Music Fan Memorabilia,"New York, New York",Entertainment & Arts,6,Deal,"Robert Herjavec, Lori Greiner","$725,000",10.0%,"$725,000",17.5%,E
Heidi Ho Vegan Cheese,"Portland, Oregon",Food & Drink,6,Deal,Lori Greiner,"$125,000",20.0%,"$125,000",30.0%,E
BedJet Heating &amp; Cooling For Beds,"Newport, Rhode Island",Home & Tools,6,No Deal,—,"$250,000",10.0%,—,—,—
PittMoss - Peat Moss Alternative,"Pittsburgh, Pennsylvania",Home & Tools,6,Deal,"Mark Cuban, Kevin O'Leary, Robert Herjavec","$600,000",25.0%,"$600,000",35.0%,E
Bombas - Athletic Socks,"New York City, New York",Clothing & Accessories,6,Deal,Daymond John,"$200,000",5.0%,"$200,000",17.5%,E
Q Flex Acupressure Back &amp; Body Massage Tool,"San Luis Obispo, California",Beauty & Health,6,Deal,"Barbara Corcoran, Mark Cuban","$20,000",20.0%,"$25,000",25.0%,E
Keen Home Smart Vents,"New York, New York",Home & Tools,6,Deal,Robert Herjavec,"$750,000",10.0%,"$750,000",13.0%,E
The Table Jack,"Houston, Texas",Home & Tools,6,No Deal,—,"$100,000",25.0%,—,—,—
Beardbrand - Beard Grooming Products,"Spokane, Washington",Beauty & Health,6,No Deal,—,"$400,000",15.0%,—,—,—
Napwell Alarm Clock Mask,"San Francisco, California",Beauty & Health,6,No Deal,—,"$100,000",10.0%,—,—,—
BrandYourself - Online Reputation Management,"New York, New York",Tech & Electronics,6,No Deal,—,"$2,000,000",13.5%,—,—,—
SnagaStool - Reserve Bar Stools and Tables,"Boston, Massachusetts.",Apps,6,No Deal,—,"$120,000",18.0%,—,—,—
Kitchen Safe Timer Lock Box,"San Francisco, California",Home & Tools,6,Deal,"Lori Greiner, Nick Woodman","$100,000",5.0%,"$100,000",20.0%,E
Himalayan Dog Chew,The Himalayas,Pet Care,6,No Deal,—,"$750,000",5.0%,—,—,—
Roominate - Toys That Inspire Innovation,"Palo Alto, California",Kids & Toys,6,Deal,"Mark Cuban, Lori Greiner","$500,000",5.0%,"$500,000",5.0%,E
Hoppy Paws Footprints,"Corona del Mar, California",Home & Tools,6,Deal,Barbara Corcoran,"$50,000",10.0%,"$100,000",49.0%,E
Scholly College Scholarship App,"Philadelphia, Pennsylvania",Apps,6,Deal,"Lori Greiner, Daymond John","$40,000",15.0%,"$40,000",15.0%,E
Zoom Interiors,,Service,6,Deal,Barbara Corcoran,"$100,000",20.0%,"$100,000",33.0%,E
Reviver - Removes Odor from Clothing,,Clothing & Accessories,6,Deal,Lori Greiner,"$150,000",5.0%,"$150,000",15.0%,E
Singtrix - Home Karaoke System,"New York, New York",Entertainment & Arts,6,No Deal,—,"$1,500,000",5.0%,—,—,—
iCPooch - Interactive Video Dog Care,,Pet Care,6,No Deal,—,"$150,000",20.0%,—,—,—
Buck Mason - American Made Clothes,"Los Angeles, California",Clothing & Accessories,6,No Deal,—,"$200,000",8.0%,—,—,—
Floating Mug,"Mooresville, North Carolina",Home & Tools,6,No Deal,—,"$75,000",15.0%,—,—,—
Off the Cob - Organic Corn Tortillas,"Ithaca, New York",Food & Drink,6,No Deal,—,"$100,000",10.0%,—,—,—
Lip Bar Lipstick,"Brooklyn, New York",Beauty & Health,6,No Deal,—,"$125,000",20.0%,—,—,—
Jungle Jumparoo - Bounce Toy for Kids,"American Fork, Utah",Kids & Toys,6,No Deal,—,"$100,000",20.0%,—,—,—
Coffee Meets Bagel Dating App,"San Francisco, California",Apps,6,No Deal,—,"$500,000",5.0%,—,—,—
Coco Jack,New York City,Home & Tools,6,Deal,Mark Cuban,"$125,000",10.0%,"$125,000",25.0%,E
Sunscreen Mist,"New York, New York",Beauty & Health,6,No Deal,—,"$400,000",15.0%,—,—,—
Myself Belts Easy to Fasten Belts,"St. Louis, Missouri",Clothing & Accessories; Kids & Toys,6,Deal,Daymond John,"$60,000",10.0%,"$75,000",20.0%,E
Bello Verde Custom Clothing,"Columbus, Ohio",Clothing & Accessories,6,No Deal,—,"$360,000",6.0%,—,—,—
The Home T,New York City,Clothing & Accessories,6,No Deal,—,"$250,000",5.0%,—,—,—
Noene - Shock Absorbing Shoe Insoles,"Atlanta, Georgia",Clothing & Accessories,6,Deal,"Mark Cuban, Daymond John","$100,000",10.0%,"$200,000",30.0%,E
Wedding Wagon,"Las Vegas, Nevada",Service,6,No Deal,—,"$125,000",20.0%,—,—,—
Magic Cook Portable Cooker,"Chino, California",Home & Tools,6,Deal,Daymond John,"$100,000",20.0%,"$100,000",33.0%,E
Beverage Boy Floating Beer Koozie,"Orakei, Auckland",Home & Tools,6,Deal,Daymond John,"$50,000",15.0%,"$50,000",35.0%,E
Caddy Girls Golf Caddies,"Myrtle Beach, South Carolina",Service,6,No Deal,—,"$100,000",20.0%,—,—,—
Skinny Shirt - Sleeveless Collared Shirts,"New York, New York",Clothing & Accessories,6,No Deal,—,"$100,000",20.0%,—,—,—
BedRyder - Truck Bed Seating,"Chattanooga, Tennessee",Automotive & Industrial,6,No Deal,—,"$200,000",15.0%,—,—,—
SynDaver Labs Synthetic Model Body,"Tampa, Florida",Beauty & Health,6,Deal,Robert Herjavec,"$3,000,000",10.0%,"$3,000,000",25.0%,—
The Natural Grip,"Louisville, Kentucky",Beauty & Health,6,Deal,Robert Herjavec,"$100,000",20.0%,"$125,000",25.0%,E
Victoria's Kitchen Almond Water,"Paris, France",Food & Drink,6,No Deal,—,"$200,000",20.0%,—,—,—
Budsies Custom Plush Animals,"Palm Beach, Florida",Kids & Toys,6,No Deal,—,"$100,000",5.0%,—,—,—
Zero Pollution Motors,"Brattleboro, Vermont",Automotive & Industrial,6,Deal,Robert Herjavec,"$5,000,000",50.0%,"$5,000,000",50.0%,E
Kronos Putters,"San Diego, California",Sports & Outdoors,6,Deal,Robert Herjavec,"$150,000",15.0%,"$150,000",30.0%,E
Earth Log - Eco-Friendly Fire Log,"Huntington Beach, California",Home & Tools,6,Deal,Lori Greiner,"$160,000",20.0%,"$160,000",35.0%,E
FunBites Shaped Food Cutters,"Westport, Connecticut",Home & Tools,6,Deal,Lori Greiner,"$75,000",20.0%,"$75,000",25.0%,E
Red Dress Boutique,"Athens, Georgia",Clothing & Accessories,6,Deal,"Mark Cuban, Robert Herjavec","$600,000",5.0%,"$1,200,000",20.0%,E
Doorman Product Delivery &amp; Fulfillment,"San Francisco, California",Service,6,Deal,Robert Herjavec,"$250,000",10.0%,"$250,000",12.0%,E
Frill Clothing,Nationwide in the United States and Canada,Clothing & Accessories,6,Deal,"Kevin O'Leary, Barbara Corcoran","$100,000",20.0%,"$100,000",30.0%,E
You Kick Ass - Customized Action Figures,"Seattle, Washington",Entertainment & Arts,6,Deal,Mark Cuban,"$100,000",10.0%,"$100,000",10.0%,E
Priority One Canine - Dog Training Service,"Columbus, Ohio",Home & Tools; Pet Care,6,No Deal,—,"$75,000",15.0%,$-3,—,—
Greenbox Eco-friendly Pizza Box,"New York, New York",Home & Tools,6,Deal,Kevin O'Leary,"$300,000",10.0%,"$300,000",10.0%,E
Bee Thinking - Beekeeping Supplies,"Portland, Oregon",Home & Tools,6,No Deal,—,"$400,000",10.0%,—,—,—
The Paleo Diet Bar,"Fort Collins, Colorado",Food & Drink,6,No Deal,—,"$150,000",20.0%,—,—,—
SoapSox - Bath Sponge for Kids,"Eagle Rock, California",Kids & Toys,6,No Deal,—,"$260,000",10.0%,—,—,—
Biaggi - Foldable Luggage,"Brooklyn, New York",Clothing & Accessories,6,Deal,Lori Greiner,"$500,000",30.0%,"$500,000",33.0%,E
Sseko - Customizable Sandals,"Portland, Oregon",Clothing & Accessories,6,No Deal,—,"$300,000",10.0%,—,—,—
Sun-Stache Novelty Sunglasses,"Simi Valley, California",Kids & Toys,6,Deal,Daymond John,"$300,000",5.0%,"$300,000",20.0%,E
Bantam Bagels,New York City,Food & Drink,6,Deal,Lori Greiner,"$275,000",11.0%,"$275,000",25.0%,E
Twin Z Pillow,"Boston, Massachusetts",Kids & Toys,6,Deal,Lori Greiner,"$75,000",10.0%,"$75,000",15.0%,E
The Shark Wheel Square Skateboard Wheels,"Lake Forest, California",Sports & Outdoors,6,Deal,"Mark Cuban, Kevin O'Leary, Nick Woodman","$100,000",5.0%,"$225,000",17.5%,E
Man-Pack - Rugged Bags for Men,"Front Royal, Virginia",Clothing & Accessories,6,No Deal,—,"$200,000",29.0%,—,—,—
Tycoon Real Estate,,Apps,6,No Deal,—,"$50,000",5.0%,—,—,—
PullyPalz - Interactive Pacifier Toy,"Atlanta, Georgia",Kids & Toys,6,Deal,Lori Greiner,"$100,000",20.0%,"$100,000",28.0%,E
World Record Striper Company,"Wallingford, Connecticut",Sports & Outdoors,6,Deal,Mark Cuban,"$75,000",20.0%,"$80,000",33.0%,E
Heart Pup Dog Carrier Scarf,"Los Angeles, California",Clothing & Accessories,6,Deal,Daymond John,"$25,000",10.0%,"$50,000",40.0%,E
SWAG Essentials Soaps &amp; Grooming Products,"Houston, Texas",Beauty & Health,6,No Deal,—,"$125,000",20.0%,—,—,—
Gold Rush Nugget Bucket,"Eugene, Oregon",Home & Tools,6,Deal,Robert Herjavec,"$60,000",15.0%,"$60,000",25.0%,—
The Oilerie Olive Oil Bar,"Egg Harbor, Wisconsin",Food & Drink,6,No Deal,—,"$500,000",35.0%,—,—,—
Scratch &amp; Grain Baking Kits,"Portland, Oregon",Food & Drink,6,Deal,Barbara Corcoran,"$150,000",20.0%,"$150,000",20.0%,E
Echo Valley Meats,"Peoria, Illinois",Food & Drink,6,Deal,Mark Cuban,"$150,000",20.0%,"$150,000",25.0%,—
Total Merchant Resources,New Jersey,Service,5,Deal,Kevin O'Leary,"$200,000",20.0%,"$200,000",50.0%,E
Bubba-Q BBQ,"Avon, Ohio",Food & Drink,5,Deal,Daymond John,"$300,000",15.0%,"$300,000",30.0%,E
Velocity Signs,"Sacramento, California",Service,5,Deal,"Mark Cuban, Robert Herjavec, Kevin O'Leary","$225,000",15.0%,"$225,000",30.0%,E
RoloDoc Social Media App,"Tucson, Arizona",Apps,5,No Deal,—,"$50,000",20.0%,—,—,—
LockerBones,"Clinton and Ridgeland, Mississippi",Home & Tools,5,Deal,"Lori Greiner, Robert Herjavec","$175,000",10.0%,"$175,000",50.0%,E
Fort Magic,"Sarasota, Florida",Kids & Toys,5,No Deal,—,"$75,000",15.0%,—,—,—
Hamboards - Surfboard Sized Skateboards,"Huntington Beach, California",Sports & Outdoors,5,Deal,Robert Herjavec,"$100,000",15.0%,"$300,000",30.0%,E
Slawsa - Slaw Meets Salsa,"Cramerton, North Carolina",Food & Drink,5,No Deal,—,"$150,000",15.0%,—,—,—
Buffer Bit,,Home & Tools,5,No Deal,—,"$75,000",25.0%,—,—,—
Slawsa - Slaw Meets Salsa,"Cramerton, North Carolina",Food & Drink,5,No Deal,—,"$150,000",15.0%,—,—,—
Lord Nut Levington Gourmet Peanuts,"Dallas, Texas",Food & Drink,5,No Deal,—,"$500,000",30.0%,—,—,—
Lite-Netics,"Lubbock, Texas",Home & Tools,5,No Deal,—,"$125,000",20.0%,—,—,—
SwimZip,"North Kansas City, Missouri",Clothing & Accessories; Kids & Toys,5,Deal,Lori Greiner,"$60,000",5.0%,"$60,000",20.0%,E
Moberi - Bicycle Powered Smoothies,"Portland, Oregon",Food & Drink,5,No Deal,—,"$50,000",15.0%,—,—,—
Crio Bru - Superfood Coffee Alternative,"Goleta, California",Food & Drink,5,No Deal,—,"$1,000,000",10.0%,—,—,—
Sweet Ballz Gourmet Cake Balls,"Dallas, Texas",Food & Drink,5,Deal,"Barbara Corcoran, Mark Cuban","$250,000",10.0%,"$250,000",25.0%,E
Balloon Distractions,"Tampa, Florida",Service,5,No Deal,—,"$250,000",30.0%,—,—,—
U-lace No-Tie Shoelaces,"Rochester, New York",Clothing & Accessories,5,Deal,Mark Cuban,"$200,000",25.0%,"$200,000",35.0%,E
Cinnaholic Cinnamon Roll Dessert Shop,"Berkeley, California",Food & Drink,5,Deal,Robert Herjavec,"$200,000",20.0%,"$200,000",40.0%,E
Scan QR Codes,,Apps,5,No Deal,—,"$1,000,000",5.0%,—,—,—
Magic Moments Print On Demand Products,"Detroit, Michigan",Service,5,No Deal,—,"$500,000",15.0%,—,—,—
Happy Feet,"Louisville, Kentucky",Clothing & Accessories,5,Deal,Robert Herjavec,"$375,000",15.0%,"$375,000",25.0%,E
The Hanukkah Tree Topper,"San Diego, California",Home & Tools,5,Deal,Daymond John,"$50,000",15.0%,"$50,000",35.0%,E
FitDeck Exercise Playing Cards,"San Diego, California",Beauty & Health,5,No Deal,—,"$300,000",20.0%,—,—,—
Spy Escape and Evasion,"Cedar City, Utah",Entertainment & Arts,5,Deal,Daymond John,"$100,000",15.0%,"$150,000",45.0%,E
Rugged Maniac Obstacle Course,"Boston, Massachusetts",Entertainment & Arts,5,Deal,Mark Cuban,"$1,000,000",10.0%,"$1,750,000",25.0%,E
Mango Mango - Mango Preserves,"Hampton, Virginia",Food & Drink,5,Deal,Lori Greiner,"$200,000",5.0%,"$200,000",15.0%,E
Better Life Cleaning Products,"St. Louis, Missouri",Home & Tools,5,Deal,Lori Greiner,"$400,000",7.0%,"$400,000",17.0%,E
Define Bottle,"Virginia Beach, Virginia",Service,5,No Deal,—,"$100,000",20.0%,—,—,—
Chapul - Cricket Flour Energy Bar,"Salt Lake City, Utah",Food & Drink,5,Deal,Mark Cuban,"$50,000",5.0%,"$50,000",15.0%,E
Baker's Edge,"Carmel, Indiana",Home & Tools,5,No Deal,—,"$400,000",20.0%,—,—,—
ScreenMend,"West Orem, Utah",Home & Tools,5,Deal,Lori Greiner,"$30,000",25.0%,"$30,000",50.0%,E
Surprise Ride Activity For Kids,"Washington, D.C.",Kids & Toys,5,No Deal,—,"$110,000",10.0%,—,—,—
Hold Your Haunches Shapewear,"Macon, Georgia",Clothing & Accessories,5,Deal,"Barbara Corcoran, Lori Greiner","$75,000",20.0%,"$175,000",40.0%,E
Cashmere Hair Extensions,"Beverly Hills, California",Beauty & Health,5,No Deal,—,"$45,000",15.0%,—,—,—
LifeCaps Survival Pills,,Beauty & Health,5,No Deal,—,"$200,000",30.0%,—,—,—
DDP YOGA,"Smyrna, Georgia",Beauty & Health,5,No Deal,—,"$200,000",5.0%,—,—,—
Cerebral Success Supplement Pills,,Beauty & Health,5,Deal,Barbara Corcoran,"$75,000",20.0%,"$75,000",40.0%,E
Breathometer - Smartphone Breathalyzer,"Silicon Valley, California",Apps; Tech & Electronics,5,Deal,"Lori Greiner, Robert Herjavec, Kevin O'Leary, Daymond John, Mark Cuban","$250,000",10.0%,"$1,000,000",30.0%,E
Cerebral Success Supplement Pills,,Beauty & Health,5,Deal,Barbara Corcoran,"$75,000",20.0%,"$75,000",40.0%,E
RuffleButts and RuggedButts,"Flower Mound, Texas",Clothing & Accessories; Kids & Toys,5,Deal,Lori Greiner,"$600,000",7.0%,"$600,000",9.0%,E
Yubo - Personalized Lunch Box,"San Ramon, California",Kids & Toys,5,Deal,"Robert Herjavec, Kevin O'Leary","$150,000",15.0%,—,20.0%,E
iReTron,"Los Gatos, California",Home & Tools,5,Deal,"Barbara Corcoran, Mark Cuban","$100,000",20.0%,"$100,000",20.0%,E
Garage Door Lock,,Home & Tools,5,Deal,Daymond John,"$275,000",30.0%,"$275,000",35.0%,E
Foot Fairy,,Apps,5,Deal,Mark Cuban,"$75,000",15.0%,"$100,000",40.0%,E
Tipsy Elves Holiday Clothing & Outfits,"San Diego, California",Clothing & Accessories,5,Deal,Robert Herjavec,"$100,000",5.0%,"$100,000",10.0%,E
Freshly Picked - Baby Moccasins,"Provo, Utah",Clothing & Accessories; Kids & Toys,5,Deal,Daymond John,"$150,000",10.0%,"$150,000",25.0%,—
Taylor Robinson Music,"Dallas, Texas",Entertainment & Arts,5,No Deal,—,"$100,000",10.0%,—,—,—
Man Medals,,Entertainment & Arts,5,No Deal,—,"$10,000",10.0%,—,—,—
Kymera - Electric Jet Propelled Body Board,"Pleasanton, California",Sports & Outdoors,5,No Deal,—,"$250,000",20.0%,—,—,—
Southern Culture Artisan Foods,"Atlanta, Georgia",Food & Drink,5,Deal,Barbara Corcoran,"$100,000",25.0%,"$100,000",38.0%,E
Mo's Bows Bow Ties,"Memphis, Tennessee",Clothing & Accessories,5,No Deal,—,"$50,000",20.0%,—,—,—
BareEase Pre-Waxing Treatment,United States,Beauty & Health,5,No Deal,—,"$50,000",20.0%,—,—,—
PurseCase - Phone Cases,"Chino, California",Clothing & Accessories,5,Deal,Lori Greiner,"$55,000",12.0%,"$55,000",15.0%,E
Boo Boo Goo,,Beauty & Health,5,Deal,Kevin O'Leary,"$100,000",17.5%,"$100,000",25.0%,E
Morninghead,"Boston, Massachusetts",Beauty & Health,5,No Deal,—,"$25,000",20.0%,—,—,—
Tie-Not - Water Balloon Tool,,Kids & Toys,5,No Deal,—,"$125,000",10.0%,—,—,—
Bounce Boot Camp,"Garden City, New York",Kids & Toys,5,No Deal,—,"$30,000",20.0%,—,—,—
Cow Wow Flavored Milk,"Los Angeles, California",Food & Drink,5,No Deal,—,"$250,000",10.0%,—,—,—
Power Pot,,Sports & Outdoors,5,Deal,Mark Cuban,"$250,000",10.0%,—,15.0%,E
Kane and Couture Fashion For Dogs,"New York City, New York",Pet Care,5,Deal,"Lori Greiner, Daymond John","$150,000",33.0%,"$150,000",40.0%,E
Tree T Pee,"Arcadia, Florida",Home & Tools,5,Deal,John Paul DeJoria,"$150,000",20.0%,"$150,000",20.0%,E
Cheek'd Dating Service,"New York City, New York",Apps; Service,5,No Deal,—,"$100,000",10.0%,—,—,—
The Bouqs Company,"Marina del Rey, California",Home & Tools,5,No Deal,—,"$258,000",3.0%,—,—,—
TurboPup Complete Meal Bar For Dogs,"La Pine, Oregon",Pet Care,5,Deal,Daymond John,"$100,000",20.0%,"$100,000",35.0%,E
Rent A Goat,"San Diego, California",Home & Tools,5,No Deal,—,"$150,000",25.0%,—,—,—
Chocomize - Custom Chocolate Bars,"Massachusetts, United States",Food & Drink,5,No Deal,—,"$500,000",20.0%,—,—,—
Henrys Humdingers,"Deming, Washington",Food & Drink,5,Deal,"Mark Cuban, Robert Herjavec","$150,000",25.0%,"$300,000",75.0%,E
Packback Books,"Chicago, Illinois",Service,5,Deal,Mark Cuban,"$200,000",10.0%,"$200,000",20.0%,E
BZ Box - Flat Folding Storage Box,"Emory University, Atlanta, Georgia",Home & Tools,5,Deal,Lori Greiner,"$50,000",20.0%,"$50,000",40.0%,E
Wall Doctor Drywall Repair Kit,"Chester County, Pennsylvania",Home & Tools,5,Deal,Robert Herjavec,"$150,000",10.0%,"$150,000",—,—
The Cookie Dough Cafe,"Normal, Illinois",Food & Drink,5,Deal,"Lori Greiner, Steve Tisch","$50,000",20.0%,"$50,000",30.0%,E
Funtime Express,"Chicago, Illinois",Entertainment & Arts,5,Deal,"Lori Greiner, Kevin O'Leary","$125,000",20.0%,"$125,000",20.0%,E
Fairytale Wishes - Monster Repellent Spray,"Highland Park, Illinois",Kids & Toys,5,No Deal,—,"$35,000",33.0%,—,—,—
Schulzies Bread Pudding,"San Francisco, California",Food & Drink,5,No Deal,—,"$160,000",20.0%,—,—,—
Zipit Bedding,"Sacramento, California",Home & Tools,5,No Deal,—,"$75,000",20.0%,—,—,—
AngelLift Reduce Facial Wrinkles,"San Diego, California",Beauty & Health,5,Deal,Lori Greiner,"$500,000",10.0%,"$500,000",—,E
Veggie Mama - Frozen Fruit and Veggie Bars,"Laguna Niguel, California",Food & Drink,5,Deal,"Barbara Corcoran, Mark Cuban","$75,000",15.0%,"$75,000",25.0%,E
Grace and Lace,"Austin, Texas",Clothing & Accessories,5,Deal,Barbara Corcoran,"$175,000",10.0%,"$175,000",10.0%,E
Kodiak Cakes,"Park City, Utah",Food & Drink,5,No Deal,—,"$500,000",10.0%,—,—,—
Eyebloc - Webcam Blocker,"Washington, D.C.",Home & Tools,5,No Deal,—,"$50,000",10.0%,—,—,—
Nexersys - Exercise Meets Gaming,"Austin, Texas",Beauty & Health,5,No Deal,—,"$2,000,000",10.0%,—,—,—
Quickstop Fire Sprinkler Tools,United States,Home & Tools,5,No Deal,—,"$150,000",10.0%,—,—,—
Freeloader - Child Carrier Backpack,"Austin, Texas",Kids & Toys,5,Deal,Robert Herjavec,"$200,000",15.0%,"$200,000",33.0%,E
Paparazzi Proposals,"New York City, New York",Entertainment & Arts,5,Deal,"Lori Greiner, Kevin O'Leary","$250,000",20.0%,"$250,000",30.0%,E
Bambooee - The Reusable Eco-Friendly Paper Towel,"Los Angeles, California",Home & Tools,5,Deal,Lori Greiner,"$200,000",10.0%,"$200,000",10.0%,E
HangEase Folding Hangers,"Plano, Texas",Home & Tools,5,Deal,"Mark Cuban, Lori Greiner","$80,000",30.0%,"$80,000",30.0%,E
FiberFix - Now FiberWeld,"Orem, Utah",Home & Tools,5,Deal,Lori Greiner,"$90,000",10.0%,"$120,000",20.0%,E
SpiritHoods,"Los Angeles, California",Clothing & Accessories,5,No Deal,—,"$450,000",15.0%,—,—,—
Monkey Mat,United States,Kids & Toys,5,Deal,"Mark Cuban, Lori Greiner","$100,000",30.0%,"$100,000",35.0%,E
GrooveBook,"Chatsworth, California",Entertainment & Arts,5,Deal,"Mark Cuban, Kevin O'Leary","$150,000",20.0%,"$150,000",80.0%,E
Cycloramic Panoramic Image App,,Apps,5,Deal,"Lori Greiner, Mark Cuban","$90,000",5.0%,"$500,000",15.0%,—
ilumi - World's Smartest Lightbulb,"Dallas, Texas",Home & Tools,5,Deal,Mark Cuban,"$350,000",15.0%,"$350,000",25.0%,E
Kook'n Kap,"Los Angeles, California",Clothing & Accessories,5,No Deal,—,"$50,000",20.0%,—,—,—
BellyBuds,"Westlake Village, California",Kids & Toys,5,No Deal,—,"$500,000",12.5%,—,—,—
Buzzy - Takes The Sting Out Of Shots,"Atlanta, Georgia",Beauty & Health; Kids & Toys,5,No Deal,—,"$500,000",5.0%,—,—,—
Susty Party,"Brooklyn, New York",Home & Tools,5,No Deal,—,"$250,000",10.0%,—,—,—
Elephant Chat - Relationship Communication Tool,,Home & Tools,5,No Deal,—,"$50,000",20.0%,—,—,—
Virtuix Omni VR Motion Gaming,"Houston, Texas",Entertainment & Arts,5,No Deal,—,"$2,000,000",10.0%,—,—,—
Plated Meal Kits,Northeast,Food & Drink,5,Deal,Mark Cuban,"$500,000",4.0%,"$500,000",5.5%,E
Postcard on the Run,"Silicon Valley, California",Service,5,Deal,Robert Herjavec,"$300,000",5.0%,"$300,000",7.5%,E
Alaska Glacial Mud Co.,"Cordova, Alaska",Beauty & Health,5,No Deal,—,"$99,998",20.0%,—,—,—
Zoobean Curated Reading (Beanstack),"Washington, D.C.",Kids & Toys,5,Deal,Mark Cuban,"$250,000",15.0%,"$250,000",25.0%,E
Rapid Ramen Cooker,"Sacramento, California",Home & Tools,5,Deal,Mark Cuban,"$300,000",10.0%,"$300,000",20.0%,E
PetPaint,"Camarillo, California",Pet Care,5,No Deal,—,"$200,000",20.0%,—,—,—
Revolights - Bicycle Lighting System,"San Francisco, California",Sports & Outdoors,5,Deal,Robert Herjavec,"$150,000",10.0%,"$300,000",10.0%,E
Oru Kayak,"Emeryville, California",Sports & Outdoors,5,Deal,Robert Herjavec,"$500,000",12.0%,"$500,000",25.0%,E
Ten Thirty One Productions,"Los Angeles, California",Entertainment & Arts,5,Deal,Mark Cuban,"$2,000,000",10.0%,"$2,000,000",20.0%,E
Fohawx Bicycle Helmets,"Bayonne, New Jersey",Kids & Toys,5,No Deal,—,"$150,000",30.0%,—,—,—
The Paint Brush Cover,"Farmingdale, New Jersey",Home & Tools,5,Deal,Lori Greiner,"$50,000",10.0%,"$200,000",20.0%,E
Lynnae's Gourmet Pickles,"Tacoma, Washington, USA",Food & Drink,5,No Deal,—,"$125,000",20.0%,—,—,—
