Product,Location,Category,Season,Deal Y/N,Sharks,Asking Amount,% Equity (Asking),Invested Amount,% Equity (Deal),Deal Type
Banana Loca - Banana Corer & Filler,Pennsylvania,Home & Tools,13,Deal,"Mark Cuban, Kevin O'Leary","$250,000",25.0%,"$250,000",25.0%,"E
R
L"
Paskho Apparel,New York City,Clothing & Accessories,13,No Deal,—,"$500,000",2.0%,—,—,—
Wad-free Bed Sheet Laundry Detangler,"Denver, Colorado",Home & Tools,13,Deal,Kevin O'Leary,"$200,000",5.0%,"$200,000",5.0%,E
Snactiv Finger Chopsticks,Philadelphia,Home & Tools,13,Deal,"Kevin Hart, Lori Greiner","$200,000",10.0%,"$200,000",20.0%,E
Kettle Gryp Dumbbell Holder,"Missoula, Montana, and Locust Grove, Georgia",Sports & Outdoors,13,Deal,Lori Greiner,"$300,000",10.0%,"$300,000",15.0%,E
Cat Amazing Interactive Toys & Feeders For Cats,"Fort Lee, New Jersey",Pet Care,13,Deal,Lori Greiner,"$200,000",10.0%,"$200,000",22.0%,E
Flasky Flowers - Flask & Bouquet,"Delray Beach, Florida",Home & Tools,13,Deal,"Kevin O'Leary, Mark Cuban, Lori Greiner","$50,000",10.0%,"$75,000",30.0%,E
Wendy's Gnome Shop,"Charlotte, North Carolina",Kids & Toys,13,Deal,Daymond John,"$200,000",20.0%,"$200,000",30.0%,E
Pinole Blue Corn Superfoods,"Chihuahua, Mexico (indigenous community), based in Kansas, USA",Food & Drink,13,No Deal,—,"$300,000",10.0%,—,—,—
Prepdeck Meal Prep Station,"Los Angeles, California",Home & Tools,13,No Deal,—,"$750,000",7.0%,—,—,—
ooakshell Headbands,"Dallas, Texas",Clothing & Accessories,13,Deal,Emma Grede,"$150,000",10.0%,"$150,000",20.0%,E
Tenikle Suction Tripod,"Dana Point, California",Home & Tools,13,Deal,Daymond John,"$200,000",10.0%,"$200,000",30.0%,E
Songlorious Personalized Songs,"Chattanooga, Tennessee",Entertainment & Arts,13,Deal,"Peter Jones, Kevin O'Leary, Daymond John, Mark Cuban","$400,000",10.0%,"$500,000",40.0%,E
SPERGO Apparel,"Philadelphia, Pennsylvania",Clothing & Accessories,13,Deal,Daymond John,"$300,000",10.0%,"$300,000",20.0%,E
Black Sands Entertainment,"Columbia, Maryland",Entertainment & Arts,13,Deal,"Mark Cuban, Kevin Hart","$500,000",5.0%,"$500,000",30.0%,E
Calm Strips,"Newport News, Virginia",Beauty & Health,13,Deal,Robert Herjavec,"$250,000",10.0%,"$250,000",0%,"R
L"
Curie Deodorant & Skincare,"Los Angeles, California",Beauty & Health,13,Deal,"Mark Cuban, Barbara Corcoran","$300,000",5.0%,"$300,000",10.0%,E
HairFin Haircut Guide,"Derby, Connecticut",Beauty & Health,13,Deal,Daymond John,"$25,000",20.0%,"$25,000",30.0%,E
IncrEdible Spoons,Dinesh Tadepalli is from Planet Earth,Food & Drink,13,Deal,Lori Greiner,"$500,000",7.0%,"$500,000",15.0%,E
The Real Elf,"Clarendon Hills, Illinois",Entertainment & Arts,13,Deal,Barbara Corcoran,"$125,000",25.0%,"$125,000",35.0%,"E
L"
Stryx Cosmetics & Skicare For Men,New York,Beauty & Health,13,Deal,Robert Herjavec,"$600,000",5.0%,"$600,000",10.0%,E
Liberate Meditation,"Los Angeles, California.",Apps,13,No Deal,—,"$200,000",10.0%,—,—,—
MuteMe Video Conferencing Mute Button,"Sacramento, California",Tech & Electronics,13,No Deal,—,"$200,000",10.0%,—,—,—
Beulr Online Meeting Attender Bot,"York, Maine",Apps,13,No Deal,—,"$150,000",20.0%,—,—,—
The SMART Tire Company,"Los Angeles, California.",Automotive & Industrial,13,No Deal,—,"$500,000",2.0%,—,—,—
The Blowzee,Not specified,Home & Tools,13,No Deal,—,"$100,000",20.0%,—,—,—
Noggin Boss Hats,"Phoenix, Arizona",Clothing & Accessories,13,Deal,Daymond John,"$50,000",25.0%,"$50,000",30.0%,E
Browndages Skin Tone Bandages,"Columbus, Ohio",Beauty & Health,13,Deal,"Mark Cuban, Daymond John, Lori Greiner","$75,000",7.0%,"$175,000",25.0%,"E
L"
THEMAGIC5 Custom Swim Goggles,"Charlotte, North Carolina and New York",Sports & Outdoors,13,Deal,"Robert Herjavec, Mark Cuban","$500,000",2.0%,"$1,000,000",6.0%,E
Ornament Anchor,"Shelton, Connecticut",Home & Tools,13,No Deal,—,"$90,000",5.0%,—,—,—
Springer Dog Water Bottle,"Austin, Texas (Shannon) and Oxnard, California (Griffin)",Pet Care,13,Deal,Lori Greiner,"$400,000",6.0%,"$400,000",10.0%,E
Must Love Non-Dairy Ice Cream,"Los Angeles, California",Food & Drink,13,No Deal,—,"$600,000",7.0%,—,—,—
Umaro Foods Seaweed-Based Bacon,"Berkeley, California",Food & Drink,13,Deal,Mark Cuban,"$500,000",2.0%,"$1,000,000",7.0%,E
Proper Good Meal & Soup Delivery,"Austin, Texas",Food & Drink,13,Deal,Mark Cuban,"$400,000",10.0%,"$400,000",20.0%,E
Fish Fixe Seafood Delivery,"Houston, Texas",Food & Drink,13,Deal,Lori Greiner,"$200,000",15.0%,"$200,000",25.0%,E
Candi Video Chat With Celebrities,"Chicago, Illinois",Entertainment & Arts,13,No Deal,—,"$500,000",15.0%,—,—,—
OverEZ Chicken Coop,"Lancaster, Pennsylvania",Home & Tools,13,No Deal,—,"$1,000,000",4.0%,—,—,—
Behave Bras,"Boston, Massachusetts",Clothing & Accessories,13,Deal,Kevin O'Leary,"$150,000",15.0%,"$150,000",20.0%,E
Lil ADVENTS Potty Training Game,"Renton, Washington",Kids & Toys,13,No Deal,—,"$300,000",15.0%,—,—,—
Pan's Mushroom Jerky,"Portland, Oregon",Food & Drink,12,Deal,Mark Cuban,"$300,000",10.0%,"$300,000",18.0%,E
Pashion Footwear,"San Luis Obispo, California",Clothing & Accessories,12,No Deal,—,"$500,000",5.0%,—,—,—
BEERMKR Automatic Beer Brewing Machine,"Boulder, Colorado",Home & Tools,12,No Deal,—,"$500,000",2.0%,—,—,—
Codi Storytelling Robot,"Palo Alto, CA",Kids & Toys; Tech & Electronics,12,Deal,Robert Herjavec,"$500,000",10.0%,"$500,000",25.0%,E
Busy Baby Mat Placemat,"Rochester, Minnesota",Kids & Toys,12,No Deal,—,"$250,000",5.0%,—,—,—
Phoozy Insulated Phone Cases,"Charlotte, North Carolina (Kevin) and Atlanta, Georgia (Josh)",Clothing & Accessories,12,Deal,"Lori Greiner, Robert Herjavec","$500,000",10.0%,"$500,000",8.0%,"E
R
L"
The Cereal Killerz Cereal Bar,"North Las Vegas, Nevada",Food & Drink,12,No Deal,—,"$125,000",10.0%,—,—,—
Aura Bora Herbal Sparkling Water,"San Francisco, California",Food & Drink,12,Deal,Robert Herjavec,"$150,000",5.0%,"$200,000",15.0%,E
Bumbling Bee Vegan Junk Food and Burger Bar,"Virginia Beach, Virginia, and Boulder, Colorado",Food & Drink,12,No Deal,—,"$150,000",10.0%,—,—,—
